"ID","Débitos","Fabricante","Modelo","Ano","Categoria","Couro","Combustivel","Volume_motor","Km","Cilindros","Tipo_cambio","Tração","Portas","Rodas","Cor","Airbags","Preco","Numero_proprietarios","Data_ultima_lavagem","Adesivos_personalizados","Radio_AM_FM","Historico_troca_oleo","Codigo_concessionaria","Classificacao_Veiculo","Faixa_Preco"
45108412,"382","HYUNDAI","Sonata",2014,"Sedan","Sim","Hibrido","2.4","141000 km",4,"Tiptronic","Dianteira","4-5",9,"Branco",12,21326,1,2020-09-08,"Não","AM",9,4096,"Usado","Médio"
45810322,"1436","PORSCHE","Cayenne",2010,"SUV","Sim","Gasol.","3.6","160259 km",6,"Automatico","4x4","4-5",25,"Prata",12,549,5,2020-11-05,"Sim","AM",4,9439,"Usado","Econômico"
45769564,"1194","TOYOTA","Tacoma",2013,"SUV","Sim","Gasolina","4","239342 km",6,"Automatico","4x4","4-5",27,"Prata",12,220,2,2021-12-29,"Não","FM",8,3046,"Usado","Econômico"
45726453,"503","TOYOTA","Prius C",2012,"Hatchback","Nao","Hibrido","1.5","128000 km",4,"Variator","Dianteira","4-5",32,"Azul ceu",8,15681,2,2022-01-23,"Não","FM",10,8557,"Usado","Econômico"
45732544,"1017","HYUNDAI","Santa FE",2017,"SUV","Sim","diesel","2","100734 km",4,"Automatico","Dianteira","4-5",6,"Preto",4,55390,2,2020-11-16,"Não","AM/FM",5,5090,"Usado","Luxo"
45811563,"-","TOYOTA","Aqua",2012,"Hatchback","Nao","Hibrido","1.5","141500 km",4,"Automatico","Dianteira","4-5",5,"Preto",8,12544,4,2022-11-06,"Não","AM/FM",10,1510,"Usado","Econômico"
45699930,"-","FORD","Escape Hybrid",2008,"SUV","Nao","Hibrido","2.3","147000 km",4,"Variator","4x4","4-5",24,"Branco",8,17249,3,2021-07-09,"Não","AM",2,7150,"Usado","Econômico"
45809839,"891","HONDA","Civic",2016,"Sedan","Sim","Gasolina","2","87768 km",4,"Automatico","Dianteira","4-5",22,"Azul",4,34889,5,2021-07-18,"Sim","AM/FM",7,7065,"Usado","Médio"
45767508,"1104","AUDI","Q7",2015,"SUV","Sim","Gasol.","3","264014 km",6,"Automatico","4x4","4-5",14,"Preto",0,862,2,2021-11-19,"Sim","AM/FM",6,2307,"Usado","Econômico"
45802148,"-","RENAULT","Megane 1.5CDI",2008,"Sedan","Nao","Dies.","1.5 Turbo","132542 km",4,"Manual","Dianteira","4-5",4,"Branco",10,14583,2,2020-12-03,"Não","AM",9,3510,"Usado","Econômico"
45769316,"1017","MERCEDES-BENZ","E 300",2017,"Sedan","Sim","Gasolina","2","1600 km",4,"Automatico","Traseira","4-5",26,"Preto",12,392,2,2020-05-20,"Não","AM",2,9632,"Usado","Econômico"
44153312,"639","AUDI","Q5",2014,"SUV","Sim","gasolina","2","87000 km",1,"Tiptronic","4x4","4-5",9,"Branco",12,38500,5,2020-11-14,"Sim","AM/FM",1,6797,"Usado","Médio"
45782169,"-","MERCEDES-BENZ","C 180",2001,"Cupê","Nao","Gasolina","2","260000 km",4,"Manual","Traseira","2-3",25,"Azul",0,8781,1,2020-10-08,"Não","AM",3,4055,"Usado","Econômico"
44316016,"-","MERCEDES-BENZ","GLA 250",2019,"SUV","Sim","GASOLINA","2.0 Turbo","5323 km",4,"Tiptronic","4x4","4-5",4,"Cinza",0,87112,1,2022-04-19,"Sim","AM",8,9267,"Semi-novo","Luxo"
45641216,"629","NISSAN","Juke",2015,"SUV","Sim","Gasolina","1.6","87112 km",4,"Automatico","4x4","4-5",29,"Preto",0,1411,4,2022-04-24,"Não","AM",2,8451,"Usado","Econômico"
45813399,"919","BMW","535",2012,"Sedan","Sim","Gasolina","3","204318 km",6,"Automatico","Traseira","4-5",32,"Preto",12,392,5,2021-02-15,"Sim","AM",8,1068,"Usado","Econômico"
44679525,"781","CHEVROLET","Cruze LT",2018,"Sedan","Nao","gasolina","1.4 Turbo","22000 km",4,"Automatico","Dianteira","4-5",15,"Red",6,23521,2,2022-03-19,"Não","AM",8,7426,"Semi-novo","Médio"
45418626,"530","FORD","Fusion",2013,"Sedan","Nao","Gasolina","1.6 Turbo","83000 km",4,"Tiptronic","Dianteira","4-5",31,"Prata",8,NA,1,2022-10-09,"Sim","AM/FM",2,5458,"Usado",NA
45323316,"-","TOYOTA","VOXY",2007,"Minivan","Sim","Gasol.","2.4","170000 km",4,"Automatico","Dianteira","4-5",15,"Preto",6,10349,5,2022-10-09,"Sim","FM",0,4382,"Usado","Econômico"
45638910,"530","NISSAN","Juke",2013,"SUV","Sim","gasolina","1.6","312118 km",4,"Automatico","Dianteira","4-5",2,"Preto",0,NA,4,2020-03-24,"Sim","FM",1,8976,"Usado",NA
45778144,"-","MERCEDES-BENZ","A 160",2004,"Sedan","Nao","GASOLINA","1.6","130000 km",4,"Tiptronic","Dianteira","4-5",12,"Preto",6,5331,4,2021-07-06,"Sim","AM/FM",9,7525,"Usado","Econômico"
45803923,"640","HYUNDAI","Tucson",2013,"SUV","Sim","diesel","2","200279 km",4,"Automatico","Dianteira","4-5",9,"Cinza",4,20526,1,2022-11-02,"Sim","AM",4,7901,"Usado","Médio"
45802190,"777","HYUNDAI","H1",2014,"Minivan","Sim","Diesel","2.5","154672 km",4,"Automatico","Dianteira","4-5",15,"Prata",4,34657,3,2021-03-07,"Sim","AM",2,2148,"Usado","Médio"
45802203,"1091","HYUNDAI","H1",2016,"Minivan","Sim","Dies.","2.5","110969 km",4,"Automatico","Dianteira","4-5",24,"Preto",4,36564,3,2022-03-25,"Não","AM/FM",3,2419,"Usado","Médio"
45648175,"779","TOYOTA","Camry",2013,"Sedan","Sim","Hibrido","2.5","225510 km",4,"Automatico","Dianteira","4-5",20,"Branco",12,314,5,2020-08-20,"Sim","AM",3,7738,"Usado","Econômico"
45786421,"-","TOYOTA","Vitz",2001,"Hatchback","Nao","Gasolina","1.5","210000 km",4,"Manual","Dianteira","4-5",6,"Azul ceu",3,5488,5,2022-05-06,"Não","AM",4,8815,"Usado","Econômico"
45802120,"934","HYUNDAI","H1",2015,"Universal","Sim","Dies.","2.5",NA,4,"Automatico","Dianteira","4-5",5,"Prata",4,30063,4,2021-12-24,"Não","FM",8,2481,"Usado","Médio"
45809414,"769","CHEVROLET","Captiva",2011,"SUV","Sim","Dies.","2.2","255456 km",4,"Automatico","Dianteira","4-5",6,"Prata",4,15800,5,2022-07-29,"Sim","AM",2,4895,"Usado","Econômico"
45797480,"1249","HYUNDAI","H1",2017,"Universal","Sim","DIESEL","2.5","111643 km",4,"Automatico","Dianteira","4-5",7,"Cinza",4,43952,4,2022-07-04,"Não","AM",2,5746,"Usado","Médio"
45732043,"891","HYUNDAI","Santa FE",2016,"SUV","Sim","Dies.","2","84506 km",4,"Automatico","Dianteira","4-5",29,"Prata",4,53154,2,2021-09-08,"Sim","FM",0,4711,"Usado","Luxo"
45816646,"645","TOYOTA","Prius",2011,"Hatchback","Nao","Hibrido","1.8",NA,4,"Automatico","Dianteira","4-5",32,"Branco",8,14740,2,2022-09-15,"Não","AM",1,3777,"Usado","Econômico"
45624039,"-","FORD","Mustang",2016,"Conversivel","Sim","GASOLINA","2.3 Turbo","75000 km",4,"Tiptronic","Traseira","2-3",16,"Prata",6,42337,1,2020-03-28,"Sim","FM",4,1992,"Usado","Médio"
45814804,"1053","MERCEDES-BENZ","ML 350",2014,"SUV","Sim","Gasol.","3.5","94362 km",6,"Automatico","Traseira","4-5",15,"Branco",12,3763,2,2021-02-11,"Não","AM/FM",9,2904,"Usado","Econômico"
45787521,"-","TOYOTA","Prius",2012,"Sedan","Nao","gasolina","1.8","175000 km",4,"Automatico","Dianteira","4-5",31,"Prata",8,18189,5,2021-12-27,"Não","AM",1,9285,"Usado","Econômico"
45759890,"2455","LEXUS","GX 470",2008,"SUV","Sim","GASOLINA","4.7","263190 km",8,"Automatico","4x4","4-5",22,"Branco",0,862,5,2021-03-06,"Sim","AM",1,8771,"Usado","Econômico"
45758167,"1185","FORD","Escape",2009,"SUV","Sim","Hibrido","2.5","193614 km",4,"Automatico","Dianteira","4-5",4,"Branco",0,220,4,2022-07-28,"Sim","FM",3,6095,"Usado","Econômico"
45648538,"1324","TOYOTA","Highlander",2010,"SUV","Sim","Hibrido","3.3","264877 km",6,"Automatico","4x4","4-5",15,"Branco",12,5645,1,2020-07-17,"Sim","AM",7,6470,"Usado","Econômico"
45757322,"830","TOYOTA","Yaris",2019,"Sedan","Sim","GASOLINA","1.5","27656 km",4,"Automatico","Dianteira","4-5",16,"Branco",12,7527,4,2022-02-27,"Sim","FM",0,9425,"Semi-novo","Econômico"
45800993,"1187","HONDA","Civic",2014,"Sedan","Nao","Hibrido","1.4","16000 km",8,"Automatico","4x4","4-5",14,"Branco",10,21953,2,2022-08-02,"Não","AM",9,9852,"Usado","Médio"
45765301,"-","HONDA","Cr-v",1998,"SUV","Nao","Gasol.","2","0 km",4,"Automatico","4x4","4-5",32,"Branco",2,8154,2,2022-10-06,"Não","AM/FM",5,8587,"Usado","Econômico"
45771208,"781","TOYOTA","Camry",2012,"Sedan","Nao","Gasolina","2.5","195053 km",4,"Automatico","Dianteira","4-5",12,"Preto",0,NA,3,2020-02-07,"Sim","AM/FM",5,2586,"Usado",NA
45801684,"531","HYUNDAI","Elantra",2012,"Sedan","Sim","Gasolina","1.6",NA,4,"Automatico","Dianteira","4-5",27,"Preto",4,19121,5,2021-06-06,"Não","AM",7,4721,"Usado","Econômico"
45732386,"639","HYUNDAI","Santa FE",2014,"SUV","Sim","DIESEL","2","69191 km",4,"Automatico","Dianteira","4-5",16,"Branco",4,36065,5,2022-06-20,"Não","FM",8,3044,"Usado","Médio"
43892866,"1111","HONDA","FIT",2012,"Hatchback","Sim","Hibrido","1.3","83000 km",4,"Tiptronic","Dianteira","4-5",3,"Verde",12,8781,3,2020-04-22,"Não","FM",2,2552,"Usado","Econômico"
45810403,"760","CHEVROLET","Cruze",2010,"Sedan","Sim","gasolina","1.8","40772 km",4,"Automatico","Dianteira","4-5",19,"Preto",4,6247,4,2022-03-15,"Sim","AM",6,1285,"Usado","Econômico"
45810513,"642","CHEVROLET","Orlando",2012,"SUV","Sim","Diesel","2","172000 km",4,"Automatico","Dianteira","4-5",25,"Cinza",4,16289,5,2021-12-31,"Não","FM",2,2940,"Usado","Econômico"
45807330,"1604","MERCEDES-BENZ","GL 63 AMG",2014,"SUV","Sim","gasolina","5.5","433811 km",8,"Automatico","4x4","4-5",17,"Preto",10,77775,1,2021-07-16,"Sim","AM/FM",6,4605,"Usado","Luxo"
45733554,"-","BMW","520 Vanos",1995,"Sedan","Sim","Gasolina","2","350000 km",6,"Manual","Traseira","4-5",28,"Azul",2,2822,4,2022-07-25,"Não","FM",4,2679,"Usado","Econômico"
45769914,"781","SUBARU","Forester",2012,"SUV","Sim","gasolina","2.5",NA,4,"Automatico","4x4","4-5",17,"Azul",0,549,1,2022-05-14,"Sim","AM",6,2165,"Usado","Econômico"
45744824,"1095","DAEWOO","Lacetti",2008,"Sedan","Sim","Gasol.","2",NA,4,"Automatico","Dianteira","4-5",30,"Preto",4,6981,1,2020-05-12,"Sim","FM",5,2767,"Usado","Econômico"
45792882,"891","HYUNDAI","Elantra",2016,"Sedan","Nao","Gasol.","2","105394 km",4,"Tiptronic","Dianteira","4-5",7,"Preto",12,27284,5,2021-02-08,"Não","AM",0,8164,"Usado","Médio"
45330228,"-","BMW","428 Sport Line",2013,"Cupê","Sim","Gasol.","2.0 Turbo",NA,4,"Automatico","Traseira","2-3",6,"Preto",12,32929,3,2020-08-26,"Não","FM",3,5621,"Usado","Médio"
45776745,"-","NISSAN","Patrol",1990,"SUV","Nao","diesel","2.8 Turbo","333333 km",4,"Manual","Traseira","4-5",7,"Preto",0,18817,1,2022-01-26,"Sim","FM",5,7220,"Usado","Econômico"
45749534,"-","HONDA","Civic",1997,"Hatchback","Sim","GASOLINA","1.4","0 km",4,"Manual","Dianteira","2-3",18,"Azul",6,4234,2,2022-05-24,"Sim","AM/FM",5,9789,"Usado","Econômico"
45789555,"-","MERCEDES-BENZ","E 320",2004,"Sedan","Sim","Gasolina","3.2","214000 km",6,"Tiptronic","Traseira","4-5",23,"Cinza",8,15053,5,2020-02-13,"Sim","FM",1,7881,"Usado","Econômico"
45797276,"966","HYUNDAI","Genesis",2009,"Cupê","Sim","Gasolina","2","123346 km",4,"Automatico","Dianteira","4-5",7,"Preto",4,15458,1,2020-10-08,"Sim","FM",7,2028,"Usado","Econômico"
45809760,"473","CHEVROLET","Cruze",2014,"Sedan","Sim","Gasolina","1.4","80827 km",4,"Automatico","Dianteira","4-5",2,"Verde",12,2901,5,2020-04-08,"Sim","FM",2,3376,"Usado","Econômico"
45810325,"1138","PORSCHE","911",2013,"Cupê","Sim","gasolina","3.8",NA,6,"Automatico","Traseira","2-3",13,"Preto",12,706,5,2021-01-18,"Sim","AM",6,5610,"Usado","Econômico"
45813375,"382","FORD","Fusion",2015,"Sedan","Sim","Hibrido","2",NA,4,"Automatico","Dianteira","4-5",7,"Preto",12,314,1,2020-03-17,"Não","AM/FM",5,8431,"Usado","Econômico"
45756975,"1811","LEXUS","GX 460",2010,"SUV","Sim","Gasol.","4.6",NA,8,"Automatico","4x4","4-5",23,"Prata",0,15681,2,2022-05-22,"Sim","AM",4,1717,"Usado","Econômico"
45776758,"-","MERCEDES-BENZ","Sprinter",2004,"Microonibus","Nao","DIESEL","2.2 Turbo",NA,4,"Manual","Traseira","4-5",20,"Branco",1,26657,3,2021-09-28,"Sim","AM/FM",9,5337,"Usado","Médio"
45550733,"988","TOYOTA","Prius",2007,"Hatchback","Nao","gasolina","1.5","318400 km",4,"Automatico","Dianteira","4-5",21,"Prata",6,NA,2,2020-11-03,"Não","AM/FM",7,3331,"Usado",NA
44094036,"765","FORD","Focus SE",2015,"Sedan","Nao","Gasol.","2","91200 km",4,"Automatico","Dianteira","4-5",25,"Azul ceu",10,12858,2,2020-01-15,"Sim","FM",8,1337,"Usado","Econômico"
45642797,"917","BMW","X5",2013,"SUV","Sim","Diesel","3","137802 km",6,"Automatico","4x4","4-5",28,"Preto",12,1019,1,2021-02-26,"Sim","AM",8,6699,"Usado","Econômico"
45760895,"917","BMW","535",2013,"Sedan","Sim","Hibrido","3","151586 km",6,"Automatico","Traseira","4-5",2,"Branco",12,549,3,2020-12-28,"Não","AM/FM",6,6228,"Usado","Econômico"
45742789,"-","KIA","Picanto",2016,"Hatchback","Nao","gasolina","1.2","107000 km",4,"Manual","Dianteira","4-5",25,"Prata",2,12858,1,2021-08-03,"Sim","AM",0,3593,"Usado","Econômico"
45783859,"-","BMW","328",2008,"Sedan","Sim","Gás Natural","3","210408 km",6,"Tiptronic","Traseira","4-5",3,"Branco",12,15000,5,2020-01-09,"Não","AM/FM",3,3998,"Usado","Econômico"
45808992,"1156","FORD","Explorer",2017,"SUV","Sim","Gasol.","2.3","100567 km",4,"Automatico","Dianteira","4-5",29,"Preto",4,85553,1,2021-08-21,"Sim","AM",1,8645,"Usado","Luxo"
45731735,"1091","HYUNDAI","H1",2016,"Universal","Sim","DIESEL","2.5","86000 km",4,"Automatico","Dianteira","4-5",19,"Cinza",4,44752,3,2020-04-27,"Sim","AM/FM",1,4109,"Usado","Médio"
45797948,"687","HYUNDAI","Elantra",2010,"Sedan","Sim","GASOLINA","1.6",NA,4,"Automatico","Dianteira","4-5",18,"Branco",4,17158,1,2021-04-16,"Não","AM/FM",1,4670,"Usado","Econômico"
45534351,"11714","MERCEDES-BENZ","E 500 AMG",2003,"Sedan","Sim","GASOLINA","5","150000 km",12,"Tiptronic","Traseira","4-5",14,"Branco",12,11917,3,2020-12-04,"Sim","AM/FM",3,1845,"Usado","Econômico"
45753393,"-","MITSUBISHI","Lancer",1997,"Sedan","Nao","Gasol.","1.3","100000 km",4,"Manual","Traseira","4-5",10,"Red",0,1254,5,2022-09-18,"Sim","AM",9,8593,"Usado","Econômico"
45624923,"-","HONDA","FIT",2003,"Hatchback","Nao","Gasolina","1.5","178000 km",4,"Variator","Dianteira","4-5",27,"Prata",4,94,1,2020-03-13,"Sim","FM",5,9245,"Usado","Econômico"
45726679,"640","SSANGYONG","Korando",2013,"SUV","Sim","DIESEL","2","85704 km",4,"Automatico","Dianteira","4-5",14,"Prata",4,25591,1,2022-06-16,"Sim","FM",1,8267,"Usado","Médio"
45803059,"836","HYUNDAI","Santa FE",2010,"SUV","Sim","Diesel","2","58962 km",4,"Automatico","Dianteira","4-5",29,"Branco",4,14897,2,2021-08-14,"Sim","AM/FM",5,5215,"Usado","Econômico"
45770405,"779","TOYOTA","Camry",2013,"Sedan","Sim","Hibrido","2.5","90000 km",4,"Tiptronic","Dianteira","4-5",9,"Branco",12,23521,2,2020-12-18,"Não","FM",2,2554,"Usado","Médio"
45787329,"-","RENAULT","Clio",1995,"Hatchback","Nao","Gasolina","1.2","50000 km",3,"Manual","Dianteira","2-3",17,"Verde",0,3450,4,2021-12-04,"Não","FM",10,4352,"Usado","Econômico"
45763505,"777","MAZDA","616",2014,"Sedan","Sim","Gasol.","2.5","0 km",4,"Automatico","Dianteira","4-5",9,"Red",12,706,4,2021-11-03,"Sim","FM",9,9796,"Usado","Econômico"
45767451,"1537","TOYOTA","Highlander",2009,"Sedan","Sim","Hibrido","3.3","318358 km",6,"Automatico","4x4","4-5",7,"Preto",12,1019,2,2020-09-19,"Sim","FM",2,3880,"Usado","Econômico"
45636958,"765","FORD","Fusion",2015,"Sedan","Sim","Gasolina","2",NA,4,"Automatico","Dianteira","4-5",31,"Preto",0,16935,2,2020-10-20,"Não","AM/FM",0,2334,"Usado","Econômico"
45757670,"781","TOYOTA","Camry",2012,"Sedan","Sim","Gasolina","2.5","0 km",4,"Tiptronic","Dianteira","4-5",11,"Preto",6,19444,4,2021-04-21,"Sim","FM",7,5813,"Usado","Econômico"
45802837,"891","HYUNDAI","Santa FE",2016,"SUV","Sim","diesel","2","59515 km",4,"Automatico","Dianteira","4-5",7,"Azul",4,51965,4,2021-04-12,"Não","AM",10,8647,"Usado","Luxo"
45646428,"394","TOYOTA","Camry",2014,"Sedan","Sim","Hibrido","2.5","115312 km",4,"Automatico","Dianteira","4-5",27,"Cinza",12,706,2,2022-06-27,"Sim","AM/FM",9,4789,"Usado","Econômico"
