ID,Débitos,Fabricante,Modelo,Ano,Categoria,Couro,Combustivel,Volume_motor,Km,Cilindros,Tipo_cambio,Tração,Portas,Rodas,Cor,Airbags,Preco,Numero_proprietarios,Data_ultima_lavagem,Adesivos_personalizados,Radio_AM_FM,Historico_troca_oleo,Codigo_concessionaria,Classificacao_Veiculo,Faixa_Preco,Dias_desde_lavagem
45814106,0,FORD,Transit,2001,Microonibus,Nao,Diesel,2.0,230000.0,4,Manual,Dianteira,2-3,13,Branco,0,7840.0,5,2021-06-18,Não,AM,0,8006,Usado,Econômico,1779
45813492,0,OPEL,Vectra,1995,Sedan,Nao,Gasolina,1.8,0.0,4,Automatico,Dianteira,4-5,13,Verde,4,4704.0,4,2022-03-15,Não,FM,0,7336,Usado,Econômico,1509
45782859,0,MERCEDES-BENZ,E 220,2006,Sedan,Sim,Diesel,2.2,,4,Tiptronic,Traseira,4-5,3,Preto,8,20385.0,2,2022-11-04,Não,AM/FM,9,4079,Usado,Médio,1275
45759112,2455,LEXUS,GX 470,2008,SUV,Sim,Gasolina,4.7,0.0,8,Automatico,4x4,4-5,23,Branco,0,,4,2022-12-14,Sim,FM,3,7793,Usado,,1235
45804684,0,TOYOTA,Prius,2008,Sedan,Nao,Híbrido,1.5,,4,Automatico,Dianteira,4-5,27,Branco,8,30.0,3,2020-01-24,Não,AM,2,5203,Usado,Econômico,2290
45801525,583,HYUNDAI,Elantra,2011,Sedan,Sim,Gasolina,1.6,158787.0,4,Automatico,Dianteira,4-5,14,Prata,4,14454.0,2,2021-07-14,Não,FM,4,4273,Usado,Econômico,1753
45768550,1537,TOYOTA,Highlander,2009,SUV,Sim,Híbrido,3.3,420550.0,6,Automatico,4x4,4-5,5,Azul,12,12074.0,1,2020-09-20,Não,AM,2,4518,Usado,Econômico,2050
44944581,1288,MERCEDES-BENZ,Vito,2007,Vagao de carga,Nao,Diesel,2.0,180000.0,6,Manual,Traseira,4-5,21,Branco,4,15681.0,2,2022-05-18,Não,AM,3,8489,Usado,Econômico,1445
45760983,915,PORSCHE,Cayenne,2014,SUV,Sim,Diesel,3.0,175056.0,6,Automatico,4x4,4-5,19,Branco,12,19444.0,3,2022-01-19,Sim,AM,7,1396,Usado,Econômico,1564
45790136,0,BMW,X5,2000,SUV,Sim,Gás Natural,4.4,200000.0,8,Automatico,4x4,4-5,28,Prata,6,6899.0,2,2020-09-14,Não,AM/FM,10,8293,Usado,Econômico,2056
45770026,1750,TOYOTA,Highlander,2008,Sedan,Sim,Híbrido,3.3,287274.0,6,Automatico,4x4,4-5,19,Branco,12,125.0,4,2020-09-01,Não,AM,3,4153,Usado,Econômico,2069
45542380,0,JEEP,Grand Cherokee,2007,SUV,Sim,Diesel,3.0,250000.0,6,Tiptronic,4x4,4-5,19,Preto,10,24462.0,4,2022-08-17,Não,AM,0,2275,Usado,Médio,1354
45732374,707,HYUNDAI,Santa FE,2011,SUV,Sim,Diesel,2.0,162000.0,4,Automatico,Dianteira,4-5,28,Cinza,4,23235.0,2,2021-03-17,Sim,AM,10,9544,Usado,Médio,1872
45369569,1077,TOYOTA,CHR Limited,2019,SUV,Nao,Gasolina,2.0,10200.0,4,Tiptronic,Dianteira,4-5,10,Red,12,51746.0,5,2022-12-22,Sim,AM/FM,4,5799,Semi-novo,Luxo,1227
45642526,1486,HONDA,FIT,2010,Hatchback,Nao,Híbrido,1.3,158000.0,4,Automatico,Dianteira,4-5,18,Preto,4,7527.0,4,2022-03-29,Sim,AM,4,1608,Usado,Econômico,1495
45801668,531,HYUNDAI,Elantra,2012,Sedan,Sim,Gasolina,1.6,103490.0,4,Automatico,Dianteira,4-5,3,Prata,4,19121.0,5,2022-03-26,Não,AM/FM,3,9007,Usado,Econômico,1498
45661296,1399,LEXUS,RX 450,2010,SUV,Sim,Híbrido,3.5,382746.0,6,Automatico,4x4,4-5,20,Prata,12,314.0,4,2021-05-09,Não,AM/FM,1,3462,Usado,Econômico,1819
45815051,751,TOYOTA,Camry,2013,Sedan,Sim,Gasolina,2.4,203200.0,4,Automatico,Dianteira,4-5,6,Azul,4,24462.0,2,2022-03-28,Sim,FM,3,7736,Usado,Médio,1496
45797488,1091,HYUNDAI,H1,2016,Universal,Sim,Diesel,2.5,61057.0,4,Automatico,Dianteira,4-5,4,Preto,4,45734.0,2,2020-05-06,Sim,FM,5,6657,Usado,Médio,2187
45667253,650,VOLKSWAGEN,Jetta,2016,Sedan,Sim,Gasolina,1.4,11200.0,4,Tiptronic,Dianteira,4-5,24,Preto,8,20165.0,3,2022-02-12,Não,FM,9,5219,Usado,Médio,1540
45108412,382,HYUNDAI,Sonata,2014,Sedan,Sim,Híbrido,2.4,141000.0,4,Tiptronic,Dianteira,4-5,9,Branco,12,21326.0,1,2020-09-08,Não,AM,9,4096,Usado,Médio,2062
45810322,1436,PORSCHE,Cayenne,2010,SUV,Sim,Gasolina,3.6,160259.0,6,Automatico,4x4,4-5,25,Prata,12,549.0,5,2020-11-05,Sim,AM,4,9439,Usado,Econômico,2004
45769564,1194,TOYOTA,Tacoma,2013,SUV,Sim,Gasolina,4.0,239342.0,6,Automatico,4x4,4-5,27,Prata,12,220.0,2,2021-12-29,Não,FM,8,3046,Usado,Econômico,1585
45726453,503,TOYOTA,Prius C,2012,Hatchback,Nao,Híbrido,1.5,128000.0,4,Variator,Dianteira,4-5,32,Azul ceu,8,15681.0,2,2022-01-23,Não,FM,10,8557,Usado,Econômico,1560
45732544,1017,HYUNDAI,Santa FE,2017,SUV,Sim,Diesel,2.0,100734.0,4,Automatico,Dianteira,4-5,6,Preto,4,55390.0,2,2020-11-16,Não,AM/FM,5,5090,Usado,Luxo,1993
45811563,0,TOYOTA,Aqua,2012,Hatchback,Nao,Híbrido,1.5,141500.0,4,Automatico,Dianteira,4-5,5,Preto,8,12544.0,4,2022-11-06,Não,AM/FM,10,1510,Usado,Econômico,1273
45699930,0,FORD,Escape Hybrid,2008,SUV,Nao,Híbrido,2.3,147000.0,4,Variator,4x4,4-5,24,Branco,8,17249.0,3,2021-07-09,Não,AM,2,7150,Usado,Econômico,1758
45809839,891,HONDA,Civic,2016,Sedan,Sim,Gasolina,2.0,87768.0,4,Automatico,Dianteira,4-5,22,Azul,4,34889.0,5,2021-07-18,Sim,AM/FM,7,7065,Usado,Médio,1749
45767508,1104,AUDI,Q7,2015,SUV,Sim,Gasolina,3.0,264014.0,6,Automatico,4x4,4-5,14,Preto,0,862.0,2,2021-11-19,Sim,AM/FM,6,2307,Usado,Econômico,1625
45802148,0,RENAULT,Megane 1.5CDI,2008,Sedan,Nao,Diesel,1.5,132542.0,4,Manual,Dianteira,4-5,4,Branco,10,14583.0,2,2020-12-03,Não,AM,9,3510,Usado,Econômico,1976
45769316,1017,MERCEDES-BENZ,E 300,2017,Sedan,Sim,Gasolina,2.0,1600.0,4,Automatico,Traseira,4-5,26,Preto,12,392.0,2,2020-05-20,Não,AM,2,9632,Usado,Econômico,2173
44153312,639,AUDI,Q5,2014,SUV,Sim,Gasolina,2.0,87000.0,1,Tiptronic,4x4,4-5,9,Branco,12,38500.0,5,2020-11-14,Sim,AM/FM,1,6797,Usado,Médio,1995
45782169,0,MERCEDES-BENZ,C 180,2001,Cupê,Nao,Gasolina,2.0,260000.0,4,Manual,Traseira,2-3,25,Azul,0,8781.0,1,2020-10-08,Não,AM,3,4055,Usado,Econômico,2032
44316016,0,MERCEDES-BENZ,GLA 250,2019,SUV,Sim,Gasolina,2.0,5323.0,4,Tiptronic,4x4,4-5,4,Cinza,0,87112.0,1,2022-04-19,Sim,AM,8,9267,Semi-novo,Luxo,1474
45641216,629,NISSAN,Juke,2015,SUV,Sim,Gasolina,1.6,87112.0,4,Automatico,4x4,4-5,29,Preto,0,1411.0,4,2022-04-24,Não,AM,2,8451,Usado,Econômico,1469
45813399,919,BMW,535,2012,Sedan,Sim,Gasolina,3.0,204318.0,6,Automatico,Traseira,4-5,32,Preto,12,392.0,5,2021-02-15,Sim,AM,8,1068,Usado,Econômico,1902
44679525,781,CHEVROLET,Cruze LT,2018,Sedan,Nao,Gasolina,1.4,22000.0,4,Automatico,Dianteira,4-5,15,Red,6,23521.0,2,2022-03-19,Não,AM,8,7426,Semi-novo,Médio,1505
45418626,530,FORD,Fusion,2013,Sedan,Nao,Gasolina,1.6,83000.0,4,Tiptronic,Dianteira,4-5,31,Prata,8,,1,2022-10-09,Sim,AM/FM,2,5458,Usado,,1301
45323316,0,TOYOTA,VOXY,2007,Minivan,Sim,Gasolina,2.4,170000.0,4,Automatico,Dianteira,4-5,15,Preto,6,10349.0,5,2022-10-09,Sim,FM,0,4382,Usado,Econômico,1301
45638910,530,NISSAN,Juke,2013,SUV,Sim,Gasolina,1.6,312118.0,4,Automatico,Dianteira,4-5,2,Preto,0,,4,2020-03-24,Sim,FM,1,8976,Usado,,2230
45778144,0,MERCEDES-BENZ,A 160,2004,Sedan,Nao,Gasolina,1.6,130000.0,4,Tiptronic,Dianteira,4-5,12,Preto,6,5331.0,4,2021-07-06,Sim,AM/FM,9,7525,Usado,Econômico,1761
45803923,640,HYUNDAI,Tucson,2013,SUV,Sim,Diesel,2.0,200279.0,4,Automatico,Dianteira,4-5,9,Cinza,4,20526.0,1,2022-11-02,Sim,AM,4,7901,Usado,Médio,1277
45802190,777,HYUNDAI,H1,2014,Minivan,Sim,Diesel,2.5,154672.0,4,Automatico,Dianteira,4-5,15,Prata,4,34657.0,3,2021-03-07,Sim,AM,2,2148,Usado,Médio,1882
45802203,1091,HYUNDAI,H1,2016,Minivan,Sim,Diesel,2.5,110969.0,4,Automatico,Dianteira,4-5,24,Preto,4,36564.0,3,2022-03-25,Não,AM/FM,3,2419,Usado,Médio,1499
45648175,779,TOYOTA,Camry,2013,Sedan,Sim,Híbrido,2.5,225510.0,4,Automatico,Dianteira,4-5,20,Branco,12,314.0,5,2020-08-20,Sim,AM,3,7738,Usado,Econômico,2081
45786421,0,TOYOTA,Vitz,2001,Hatchback,Nao,Gasolina,1.5,210000.0,4,Manual,Dianteira,4-5,6,Azul ceu,3,5488.0,5,2022-05-06,Não,AM,4,8815,Usado,Econômico,1457
45802120,934,HYUNDAI,H1,2015,Universal,Sim,Diesel,2.5,,4,Automatico,Dianteira,4-5,5,Prata,4,30063.0,4,2021-12-24,Não,FM,8,2481,Usado,Médio,1590
45809414,769,CHEVROLET,Captiva,2011,SUV,Sim,Diesel,2.2,255456.0,4,Automatico,Dianteira,4-5,6,Prata,4,15800.0,5,2022-07-29,Sim,AM,2,4895,Usado,Econômico,1373
45797480,1249,HYUNDAI,H1,2017,Universal,Sim,Diesel,2.5,111643.0,4,Automatico,Dianteira,4-5,7,Cinza,4,43952.0,4,2022-07-04,Não,AM,2,5746,Usado,Médio,1398
45732043,891,HYUNDAI,Santa FE,2016,SUV,Sim,Diesel,2.0,84506.0,4,Automatico,Dianteira,4-5,29,Prata,4,53154.0,2,2021-09-08,Sim,FM,0,4711,Usado,Luxo,1697
45816646,645,TOYOTA,Prius,2011,Hatchback,Nao,Híbrido,1.8,,4,Automatico,Dianteira,4-5,32,Branco,8,14740.0,2,2022-09-15,Não,AM,1,3777,Usado,Econômico,1325
45624039,0,FORD,Mustang,2016,Conversivel,Sim,Gasolina,2.3,75000.0,4,Tiptronic,Traseira,2-3,16,Prata,6,42337.0,1,2020-03-28,Sim,FM,4,1992,Usado,Médio,2226
45814804,1053,MERCEDES-BENZ,ML 350,2014,SUV,Sim,Gasolina,3.5,94362.0,6,Automatico,Traseira,4-5,15,Branco,12,3763.0,2,2021-02-11,Não,AM/FM,9,2904,Usado,Econômico,1906
45787521,0,TOYOTA,Prius,2012,Sedan,Nao,Gasolina,1.8,175000.0,4,Automatico,Dianteira,4-5,31,Prata,8,18189.0,5,2021-12-27,Não,AM,1,9285,Usado,Econômico,1587
45759890,2455,LEXUS,GX 470,2008,SUV,Sim,Gasolina,4.7,263190.0,8,Automatico,4x4,4-5,22,Branco,0,862.0,5,2021-03-06,Sim,AM,1,8771,Usado,Econômico,1883
45758167,1185,FORD,Escape,2009,SUV,Sim,Híbrido,2.5,193614.0,4,Automatico,Dianteira,4-5,4,Branco,0,220.0,4,2022-07-28,Sim,FM,3,6095,Usado,Econômico,1374
45648538,1324,TOYOTA,Highlander,2010,SUV,Sim,Híbrido,3.3,264877.0,6,Automatico,4x4,4-5,15,Branco,12,5645.0,1,2020-07-17,Sim,AM,7,6470,Usado,Econômico,2115
45757322,830,TOYOTA,Yaris,2019,Sedan,Sim,Gasolina,1.5,27656.0,4,Automatico,Dianteira,4-5,16,Branco,12,7527.0,4,2022-02-27,Sim,FM,0,9425,Semi-novo,Econômico,1525
45800993,1187,HONDA,Civic,2014,Sedan,Nao,Híbrido,1.4,16000.0,8,Automatico,4x4,4-5,14,Branco,10,21953.0,2,2022-08-02,Não,AM,9,9852,Usado,Médio,1369
45765301,0,HONDA,Cr-v,1998,SUV,Nao,Gasolina,2.0,0.0,4,Automatico,4x4,4-5,32,Branco,2,8154.0,2,2022-10-06,Não,AM/FM,5,8587,Usado,Econômico,1304
45771208,781,TOYOTA,Camry,2012,Sedan,Nao,Gasolina,2.5,195053.0,4,Automatico,Dianteira,4-5,12,Preto,0,,3,2020-02-07,Sim,AM/FM,5,2586,Usado,,2276
45801684,531,HYUNDAI,Elantra,2012,Sedan,Sim,Gasolina,1.6,,4,Automatico,Dianteira,4-5,27,Preto,4,19121.0,5,2021-06-06,Não,AM,7,4721,Usado,Econômico,1791
45732386,639,HYUNDAI,Santa FE,2014,SUV,Sim,Diesel,2.0,69191.0,4,Automatico,Dianteira,4-5,16,Branco,4,36065.0,5,2022-06-20,Não,FM,8,3044,Usado,Médio,1412
43892866,1111,HONDA,FIT,2012,Hatchback,Sim,Híbrido,1.3,83000.0,4,Tiptronic,Dianteira,4-5,3,Verde,12,8781.0,3,2020-04-22,Não,FM,2,2552,Usado,Econômico,2201
45810403,760,CHEVROLET,Cruze,2010,Sedan,Sim,Gasolina,1.8,40772.0,4,Automatico,Dianteira,4-5,19,Preto,4,6247.0,4,2022-03-15,Sim,AM,6,1285,Usado,Econômico,1509
45810513,642,CHEVROLET,Orlando,2012,SUV,Sim,Diesel,2.0,172000.0,4,Automatico,Dianteira,4-5,25,Cinza,4,16289.0,5,2021-12-31,Não,FM,2,2940,Usado,Econômico,1583
45807330,1604,MERCEDES-BENZ,GL 63 AMG,2014,SUV,Sim,Gasolina,5.5,433811.0,8,Automatico,4x4,4-5,17,Preto,10,77775.0,1,2021-07-16,Sim,AM/FM,6,4605,Usado,Luxo,1751
45733554,0,BMW,520 Vanos,1995,Sedan,Sim,Gasolina,2.0,350000.0,6,Manual,Traseira,4-5,28,Azul,2,2822.0,4,2022-07-25,Não,FM,4,2679,Usado,Econômico,1377
45769914,781,SUBARU,Forester,2012,SUV,Sim,Gasolina,2.5,,4,Automatico,4x4,4-5,17,Azul,0,549.0,1,2022-05-14,Sim,AM,6,2165,Usado,Econômico,1449
45744824,1095,DAEWOO,Lacetti,2008,Sedan,Sim,Gasolina,2.0,,4,Automatico,Dianteira,4-5,30,Preto,4,6981.0,1,2020-05-12,Sim,FM,5,2767,Usado,Econômico,2181
45792882,891,HYUNDAI,Elantra,2016,Sedan,Nao,Gasolina,2.0,105394.0,4,Tiptronic,Dianteira,4-5,7,Preto,12,27284.0,5,2021-02-08,Não,AM,0,8164,Usado,Médio,1909
45330228,0,BMW,428 Sport Line,2013,Cupê,Sim,Gasolina,2.0,,4,Automatico,Traseira,2-3,6,Preto,12,32929.0,3,2020-08-26,Não,FM,3,5621,Usado,Médio,2075
45776745,0,NISSAN,Patrol,1990,SUV,Nao,Diesel,2.8,333333.0,4,Manual,Traseira,4-5,7,Preto,0,18817.0,1,2022-01-26,Sim,FM,5,7220,Usado,Econômico,1557
45749534,0,HONDA,Civic,1997,Hatchback,Sim,Gasolina,1.4,0.0,4,Manual,Dianteira,2-3,18,Azul,6,4234.0,2,2022-05-24,Sim,AM/FM,5,9789,Usado,Econômico,1439
45789555,0,MERCEDES-BENZ,E 320,2004,Sedan,Sim,Gasolina,3.2,214000.0,6,Tiptronic,Traseira,4-5,23,Cinza,8,15053.0,5,2020-02-13,Sim,FM,1,7881,Usado,Econômico,2270
45797276,966,HYUNDAI,Genesis,2009,Cupê,Sim,Gasolina,2.0,123346.0,4,Automatico,Dianteira,4-5,7,Preto,4,15458.0,1,2020-10-08,Sim,FM,7,2028,Usado,Econômico,2032
45809760,473,CHEVROLET,Cruze,2014,Sedan,Sim,Gasolina,1.4,80827.0,4,Automatico,Dianteira,4-5,2,Verde,12,2901.0,5,2020-04-08,Sim,FM,2,3376,Usado,Econômico,2215
45810325,1138,PORSCHE,911,2013,Cupê,Sim,Gasolina,3.8,,6,Automatico,Traseira,2-3,13,Preto,12,706.0,5,2021-01-18,Sim,AM,6,5610,Usado,Econômico,1930
45813375,382,FORD,Fusion,2015,Sedan,Sim,Híbrido,2.0,,4,Automatico,Dianteira,4-5,7,Preto,12,314.0,1,2020-03-17,Não,AM/FM,5,8431,Usado,Econômico,2237
45756975,1811,LEXUS,GX 460,2010,SUV,Sim,Gasolina,4.6,,8,Automatico,4x4,4-5,23,Prata,0,15681.0,2,2022-05-22,Sim,AM,4,1717,Usado,Econômico,1441
45776758,0,MERCEDES-BENZ,Sprinter,2004,Microonibus,Nao,Diesel,2.2,,4,Manual,Traseira,4-5,20,Branco,1,26657.0,3,2021-09-28,Sim,AM/FM,9,5337,Usado,Médio,1677
45550733,988,TOYOTA,Prius,2007,Hatchback,Nao,Gasolina,1.5,318400.0,4,Automatico,Dianteira,4-5,21,Prata,6,,2,2020-11-03,Não,AM/FM,7,3331,Usado,,2006
44094036,765,FORD,Focus SE,2015,Sedan,Nao,Gasolina,2.0,91200.0,4,Automatico,Dianteira,4-5,25,Azul ceu,10,12858.0,2,2020-01-15,Sim,FM,8,1337,Usado,Econômico,2299
45642797,917,BMW,X5,2013,SUV,Sim,Diesel,3.0,137802.0,6,Automatico,4x4,4-5,28,Preto,12,1019.0,1,2021-02-26,Sim,AM,8,6699,Usado,Econômico,1891
45760895,917,BMW,535,2013,Sedan,Sim,Híbrido,3.0,151586.0,6,Automatico,Traseira,4-5,2,Branco,12,549.0,3,2020-12-28,Não,AM/FM,6,6228,Usado,Econômico,1951
45742789,0,KIA,Picanto,2016,Hatchback,Nao,Gasolina,1.2,107000.0,4,Manual,Dianteira,4-5,25,Prata,2,12858.0,1,2021-08-03,Sim,AM,0,3593,Usado,Econômico,1733
45783859,0,BMW,328,2008,Sedan,Sim,Gás Natural,3.0,210408.0,6,Tiptronic,Traseira,4-5,3,Branco,12,15000.0,5,2020-01-09,Não,AM/FM,3,3998,Usado,Econômico,2305
45808992,1156,FORD,Explorer,2017,SUV,Sim,Gasolina,2.3,100567.0,4,Automatico,Dianteira,4-5,29,Preto,4,85553.0,1,2021-08-21,Sim,AM,1,8645,Usado,Luxo,1715
45731735,1091,HYUNDAI,H1,2016,Universal,Sim,Diesel,2.5,86000.0,4,Automatico,Dianteira,4-5,19,Cinza,4,44752.0,3,2020-04-27,Sim,AM/FM,1,4109,Usado,Médio,2196
45797948,687,HYUNDAI,Elantra,2010,Sedan,Sim,Gasolina,1.6,,4,Automatico,Dianteira,4-5,18,Branco,4,17158.0,1,2021-04-16,Não,AM/FM,1,4670,Usado,Econômico,1842
45534351,11714,MERCEDES-BENZ,E 500 AMG,2003,Sedan,Sim,Gasolina,5.0,150000.0,12,Tiptronic,Traseira,4-5,14,Branco,12,11917.0,3,2020-12-04,Sim,AM/FM,3,1845,Usado,Econômico,1975
45753393,0,MITSUBISHI,Lancer,1997,Sedan,Nao,Gasolina,1.3,100000.0,4,Manual,Traseira,4-5,10,Red,0,1254.0,5,2022-09-18,Sim,AM,9,8593,Usado,Econômico,1322
45624923,0,HONDA,FIT,2003,Hatchback,Nao,Gasolina,1.5,178000.0,4,Variator,Dianteira,4-5,27,Prata,4,94.0,1,2020-03-13,Sim,FM,5,9245,Usado,Econômico,2241
45726679,640,SSANGYONG,Korando,2013,SUV,Sim,Diesel,2.0,85704.0,4,Automatico,Dianteira,4-5,14,Prata,4,25591.0,1,2022-06-16,Sim,FM,1,8267,Usado,Médio,1416
45803059,836,HYUNDAI,Santa FE,2010,SUV,Sim,Diesel,2.0,58962.0,4,Automatico,Dianteira,4-5,29,Branco,4,14897.0,2,2021-08-14,Sim,AM/FM,5,5215,Usado,Econômico,1722
45770405,779,TOYOTA,Camry,2013,Sedan,Sim,Híbrido,2.5,90000.0,4,Tiptronic,Dianteira,4-5,9,Branco,12,23521.0,2,2020-12-18,Não,FM,2,2554,Usado,Médio,1961
45787329,0,RENAULT,Clio,1995,Hatchback,Nao,Gasolina,1.2,50000.0,3,Manual,Dianteira,2-3,17,Verde,0,3450.0,4,2021-12-04,Não,FM,10,4352,Usado,Econômico,1610
45763505,777,MAZDA,616,2014,Sedan,Sim,Gasolina,2.5,0.0,4,Automatico,Dianteira,4-5,9,Red,12,706.0,4,2021-11-03,Sim,FM,9,9796,Usado,Econômico,1641
45767451,1537,TOYOTA,Highlander,2009,Sedan,Sim,Híbrido,3.3,318358.0,6,Automatico,4x4,4-5,7,Preto,12,1019.0,2,2020-09-19,Sim,FM,2,3880,Usado,Econômico,2051
45636958,765,FORD,Fusion,2015,Sedan,Sim,Gasolina,2.0,,4,Automatico,Dianteira,4-5,31,Preto,0,16935.0,2,2020-10-20,Não,AM/FM,0,2334,Usado,Econômico,2020
45757670,781,TOYOTA,Camry,2012,Sedan,Sim,Gasolina,2.5,0.0,4,Tiptronic,Dianteira,4-5,11,Preto,6,19444.0,4,2021-04-21,Sim,FM,7,5813,Usado,Econômico,1837
45802837,891,HYUNDAI,Santa FE,2016,SUV,Sim,Diesel,2.0,59515.0,4,Automatico,Dianteira,4-5,7,Azul,4,51965.0,4,2021-04-12,Não,AM,10,8647,Usado,Luxo,1846
45646428,394,TOYOTA,Camry,2014,Sedan,Sim,Híbrido,2.5,115312.0,4,Automatico,Dianteira,4-5,27,Cinza,12,706.0,2,2022-06-27,Sim,AM/FM,9,4789,Usado,Econômico,1405
45801896,0,MERCEDES-BENZ,C 220,1999,Sedan,Nao,Diesel,2.2,111111.0,4,Manual,Traseira,4-5,5,Prata,4,9408.0,1,2021-03-04,Sim,FM,8,4013,Usado,Econômico,1885
45797732,1347,HYUNDAI,H1,2008,Minivan,Sim,Diesel,2.5,,4,Automatico,Dianteira,4-5,13,Amarelo,4,13328.0,1,2020-03-03,Sim,AM/FM,2,3368,Usado,Econômico,2251
